ID,X_Coordinate,Area,Equivalent_Diameter
4551,10761,1187,14.188283445427624
4552,1655,28,2.17913186913936
4553,1726,627,10.311889888173727
4554,8123,553,9.684273856939472
4555,2397,569,9.823372884284009
4556,2347,186,5.616437994139476
4557,15251,127,4.640944309287973
4558,15969,537,9.543147565070775
4559,2315,27,2.139865015633226
4560,14051,1345,15.103084028327135
4561,2660,24181,64.03856993937104
4562,15113,1593,16.436615065843945
4563,1671,626,10.303663409091534
4564,1369,42,2.6688805808143985
4565,5638,662,10.595793632130302
4566,15132,25,2.0590860713421764
4567,2442,33,2.365709786287801
4568,11501,832,11.87862465730867
4569,9656,55,3.05411820141752
4570,15137,52,2.9696561643271675
4571,2612,732,11.141920029888928
4572,8764,965,12.792874905154854
4573,1699,515,9.345619843189876
4574,9909,198,5.794781855913753
4575,8782,141,4.890058479554392
4576,10154,32,2.329589958548512
4577,2105,1429,15.567562245772672
4578,2359,721,11.057886522966047
4579,2515,581,9.926418076995352
4580,8794,1253,14.577398695023447
4581,2058,1823,17.583196551120206
4582,2487,265,6.70389854946141
4583,4568,31,2.292901209603729
4584,2350,380,8.027795390253132
4585,2372,32,2.329589958548512
4586,15893,564,9.780116959108785
4587,6373,44,2.731686363875588
4588,1430,253,6.550353787839022
4589,1412,329,7.46968771177289
4590,1812,358,7.791947358169042
4591,1896,1083,13.552478432343763
4592,9746,881,12.2234120125947
4593,1391,1307,14.88820329267213
4594,2019,1391,15.35918111076335
4595,8878,110,4.319175381535181
4596,15817,391,8.143158258649736
4597,1238,197,5.780130045220385
4598,2391,775,11.464506048018643
4599,2220,1362,15.198231320524211
4600,1505,581,9.926418076995352
4601,1611,862,12.090886083668805
4602,1467,574,9.866439170923083
4603,2195,381,8.038351338784418
4604,1276,32640,74.40113683586736
4605,2131,64,3.294537714147482
4606,1949,72,3.494384937822768
4607,2177,41,2.6369167860742944
4608,2196,320,7.36681028327054
4609,10274,567,9.80609341112712
4610,1722,356,7.77015165852906
4611,8888,1816,17.54940588822171
4612,2393,131,4.713463456290255
4613,1304,307,7.215620508044959
4614,1886,167,5.321851256905344
4615,1408,1422,15.529386348154006
4616,980,287,6.976626043924291
4617,1754,746,11.247963807018117
4618,819,531,9.48968413283126
4619,3741,5891,31.60814491944116
4620,7046,480,9.022463112950414
4621,2302,35,2.4363434956658927
4622,10117,557,9.71923524810839
4623,1489,3405,24.03051368948254
4624,1870,660,10.579775794352043
4625,1987,784,11.530881999516186
4626,1452,127,4.640944309287973
4627,11646,585,9.96052957985525
4628,5293,41,2.6369167860742944
4629,3262,1614,16.544599620421533
4630,1516,190,5.676508558426096
4631,2025,3846,25.539308634029503
4632,2999,6202,32.43174954017104
4633,2043,683,10.762541729164964
4634,1813,125,4.604256427044088
4635,11696,941,12.63279091522191
4636,7529,463,8.861250053976471
4637,1631,133,4.749307801113685
4638,1578,420,8.439741438366582
4639,1836,729,11.119064785247753
4640,2819,3361,23.874745606808546
4641,1816,1035,13.248742868539937
4642,2074,1711,17.034504340981876
4643,9130,1003,13.042323344470407
4644,1602,721,11.057886522966047
4645,1468,95,4.013897695126566
4646,379,442,8.657961119211262
4647,3470,3922,25.79041266187433
4648,2538,136,4.802572731736891
4649,1345,890,12.285688502943364
4650,12571,427,8.509781987351774
4651,1482,352,7.726375807885003
4652,1330,407,8.308099729354506
4653,1547,298,7.1090673477192965
4654,1936,1145,13.935008560210768
4655,15099,367,7.88928288212483
4656,2163,236,6.326456088554174
4657,1713,2476,20.49178622981189
4658,1508,612,10.187795237258271
4659,1781,209,5.953572402790882
4660,13249,536,9.534257812265643
4661,8950,384,8.069936338016594
4662,2641,564,9.780116959108785
4663,14999,675,10.69932507816613
4664,1402,423,8.469829738571221
4665,2490,536,9.534257812265643
4666,2663,667,10.635732686774904
4667,1434,725,11.088517846252731
4668,6956,1315,14.933698290365848
4669,2524,31,2.292901209603729
4670,1394,506,9.26359916510392
4671,1694,401,8.246633289112202
4672,1024,764,11.382854269795876
4673,1740,556,9.71050670099685
4674,1904,2938,22.3218606300962
4675,2259,398,8.215727621531164
4676,2347,35,2.4363434956658927
4677,1559,403,8.267172880799649
4678,1465,1717,17.064345831315574
4679,1618,350,7.704394608840788
4680,2163,422,8.459812195457866
4681,1166,45,2.7625538562264524
4682,10815,467,8.899445274339815
4683,3046,2128,18.99723120445474
4684,1485,2517,20.66075102761244
4685,1794,423,8.469829738571221
4686,13014,380,8.027795390253132
4687,4260,63,3.26869780370904
4688,1498,1268,14.664394088512095
4689,2643,3188,23.252178746977496
4690,2440,83,3.751833377340816
4691,1552,38,2.538611802300018
4692,2229,560,9.74537398266357
4693,2000,2463,20.43792035542576
4694,2087,316,7.320622929630328
4695,1898,36,2.4709032856106115
4696,8764,965,12.792874905154854
4697,13071,982,12.90506630918236
4698,1577,351,7.715393036437147
4699,2045,365,7.8677568314134
4700,1247,685,10.77828795811064
4701,1426,538,9.552029044484952
4702,10159,736,11.172320959599729
4703,2375,3351,23.839201824099437
4704,1771,26,2.0998640115881724
4705,1262,930,12.558737146308436
4706,1632,240,6.3798448501727245
4707,1846,123,4.567273848811911
4708,1668,32,2.329589958548512
4709,2654,1467,15.773190677817333
4710,2667,118,4.473480001095577
4711,1279,533,9.507538681322576
4712,5602,704,10.92674545550235
4713,2146,31210,72.75307948654466
4714,2403,642,10.434508820990894
4715,2129,126,4.622636765304473
4716,7849,958,12.746391427112464
4717,2513,25,2.0590860713421764
4718,1350,372,7.942842783539588
4719,8564,118,4.473480001095577
4720,947,374,7.964165889781714
4721,5780,322,7.389795706623845
4722,1960,1195,14.23601540008784
4723,2096,6568,33.37498418295662
4724,2206,92,3.950011956062781
4725,1611,1465,15.762435006141912
4726,13332,535,9.52535976290558
4727,1309,109,4.299497942608156
4728,1515,3071,22.82151148761093
4729,2158,747,11.255500132022446
4730,11779,203,5.8674921258972565
4731,10272,26,2.0998640115881724
4732,1471,1037,13.261537408333298
4733,1678,32,2.329589958548512
4734,6590,40,2.604560753507695
4735,5331,294,7.061194295764521
4736,2365,391,8.143158258649736
4737,2572,608,10.154447209200072
4738,2814,1477,15.8268593959276
4739,5963,398,8.215727621531164
4740,1879,365,7.8677568314134
4741,1242,1146,13.941092388730349
4742,1679,326,7.435553392822047
4743,7120,278,6.866365137032284
4744,13908,101,4.138711782034266
4745,1454,1125,13.812769281132264
4746,1525,252,6.53739560741808
4747,2339,4655,28.097283865885963
4748,5536,370,7.921462279660952
4749,9710,77,3.61368138932055
4750,2630,1422,15.529386348154006
4751,2025,654,10.531576109536054
4752,10968,539,9.560902273564556
4753,13817,173,5.4166097615050575
4754,1789,567,9.80609341112712
4755,1898,461,8.842090571983665
4756,1339,1163,14.044114251050797
4757,11021,414,8.379240719699794
4758,1430,912,12.43660714128442
4759,2514,48,2.8531533541776346
4760,1641,115,4.416247622846646
4761,1721,419,8.429688139457722
4762,1745,1072,13.483476705267709
4763,2442,492,9.13454769762382
4764,1847,484,9.059978713905576
4765,9386,420,8.439741438366582
4766,2649,394,8.17433830223088
4767,1316,76,3.5901392404130914
4768,1387,84,3.7743671137419055
4769,2478,28,2.17913186913936
4770,13281,155,5.127082970365432
4771,1487,711,10.980934394445493
4772,2307,1986,18.35245291736446
4773,1271,354,7.748294648540817
4774,10666,378,8.006641742443195
4775,7591,393,8.163958185913927
4776,2244,434,8.5792507480567
4777,2380,99,4.097529545813382
4778,2565,1937,18.124636564732995
4779,1653,489,9.106655883817131
4780,2110,182,5.555717961716757
4781,6394,523,9.417927457629249
4782,12252,745,11.2404224291626
4783,1876,605,10.129364139496992
4784,3461,19703,57.80570139890913
4785,2515,1418,15.507529354425246
4786,2465,91,3.9284858450898232
4787,11130,513,9.327455355963316
4788,1113,168,5.337761161628797
4789,1368,31,2.292901209603729
4790,815,395,8.184705254148536
4791,1571,425,8.489829364381896
4792,8823,451,8.745663582798292
4793,1288,370,7.921462279660952
4794,1434,3293,23.63199368161757
4795,10313,510,9.30014210448342
4796,2035,411,8.34882595247809
4797,2312,3201,23.299539285466
4798,13334,107,4.259870387999632
4799,2011,1530,16.108318642575828
4800,1467,30,2.2556157782376034
4801,1602,1696,16.959670895197615
4802,13798,289,7.000892642563399
4803,1351,368,7.900023912125563
4804,2538,25,2.0590860713421764
4805,2348,351,7.715393036437147
4806,1249,338,7.571167365282664
4807,2765,4909,28.853666817304184
4808,2206,396,8.195059091626764
4809,2295,32,2.329589958548512
4810,2400,932,12.572233912316577
4811,8934,56,3.0817578435363155
4812,6590,40,2.604560753507695
4813,2523,100,4.118172142684353
4814,2060,2243,19.503795438370645
4815,1144,385,8.080437235546633
4816,730,419,8.429688139457722
4817,2112,109,4.299497942608156
4818,1622,821,11.799838818881195
4819,1990,331,7.492357529332575
4820,1440,312,7.274142314112232
4821,625,309,7.239086002531993
4822,12396,651,10.507393354064895
4823,2572,646,10.466964603322593
4824,1768,82,3.729163481715541
4825,1701,423,8.469829738571221
4826,1630,2534,20.7304057155291
4827,2011,202,5.853022332906179
4828,2214,471,8.9374772650251
4829,10272,26,2.0998640115881724
4830,1455,385,8.080437235546633
4831,8782,141,4.890058479554392
4832,1865,330,7.481031207619623
4833,3355,181,5.540433976880728
4834,2294,856,12.048732953321236
4835,2332,389,8.12230506626535
4836,9663,157,5.160054904838402
4837,16260,88,3.8631879039425017
4838,1840,811,11.727756050152877
4839,1549,615,10.212734797800527
4840,2245,8580,38.145924109449055
4841,15520,358,7.791947358169042
4842,1953,355,7.7592308496766655
4843,9901,435,8.589128990532116
4844,7818,261,6.65311070775164
4845,1952,1092,13.608674161021463
4846,2091,461,8.842090571983665
4847,4143,430,8.539623511968204
4848,2665,241,6.393122377230335
4849,13776,606,10.137732058428822
4850,10973,474,8.965895388456413
4851,2444,444,8.6775271579932
4852,1237,206,5.910688970109132
4853,1382,290,7.012994453916683
4854,1731,375,7.974806062715905
4855,1315,708,10.957743377229296
4856,1334,792,11.589563711827504
4857,9757,1940,18.138666733185207
4858,11436,410,8.338663044325743
4859,2209,248,6.485303975606537
4860,2228,35,2.4363434956658927
4861,15696,466,8.889911854062529
4862,2392,1738,17.168382580431427
4863,15973,591,10.0114789126771
4864,9901,435,8.589128990532116
4865,9457,787,11.552922571395944
4866,16409,607,10.146093075980689
4867,1550,672,10.675522323257594
4868,7736,314,7.297419629012278
4869,2150,810,11.720523390784628
4870,1603,387,8.101398197443707
4871,2364,1003,13.042323344470407
4872,2110,822,11.807022891886987
4873,2035,362,7.835356871537427
4874,14307,1831,17.62173511034223
4875,2663,838,11.921379293396733
4876,6753,1007,13.068304094012698
4877,6394,523,9.417927457629249
4878,2187,2030,18.554639270938765
4879,2249,669,10.651666377636309
4880,1261,339,7.582359045250302
4881,7396,1927,18.07779069532497
4882,2650,641,10.42637908947152
4883,1910,465,8.880368199294084
4884,3814,5984,31.85666355912685
4885,6535,1038,13.267930051465871
4886,2575,29,2.217703569250547
4887,1294,5173,29.6193644622484
4888,1549,1758,17.266882428146015
4889,2340,702,10.911213471168349
4890,1496,115,4.416247622846646
4891,1687,95,4.013897695126566
4892,4568,31,2.292901209603729
4893,1575,454,8.774702944110855
4894,1928,465,8.880368199294084
4895,1248,514,9.336542017013397
4896,8274,210,5.967798402530116
4897,2618,451,8.745663582798292
4898,1438,629,10.328323189257548
4899,2888,59,3.163228044277087
4900,2362,394,8.17433830223088
4901,1701,423,8.469829738571221
4902,15881,326,7.435553392822047
4903,11307,47,2.823276579523741
4904,1600,81,3.7063549284159176
4905,1790,481,9.031856622119212
4906,11171,305,7.192078453422444
4907,2430,196,5.765440999758093
4908,2668,535,9.52535976290558
4909,1937,369,7.9107503582228835
4910,2508,416,8.39945604635269
4911,1719,33,2.365709786287801
4912,1973,189,5.661550670612858
4913,2659,524,9.42692691258051
4914,1968,382,8.04889344343091
4915,1366,3474,24.27277351313992
4916,1529,10656,42.51102753245362
4917,1632,123,4.567273848811911
4918,379,442,8.657961119211262
